"Date","Site.Name","COUNTY","meanlat","meanlong","month","year","Ozone","PM2.5"
2020-01-09,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2020,NA,24
2020-01-09,"Millbrook School","Wake",35.856111,-78.574167,1,2020,32,23.5
2020-01-09,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,NA,18
2020-01-09,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,35,27.5
2020-01-10,"Bryson City","Swain",35.434767,-83.442133,1,2020,NA,38
2020-01-10,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,NA,11.5
2020-01-10,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,NA,33
2020-01-10,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,NA,34
2020-01-10,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,45,NA
2020-01-10,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,28,24
2020-01-10,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,NA,28
2020-01-10,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,NA,21.5
2020-01-10,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2020,NA,17.5
2020-01-10,"Millbrook School","Wake",35.856111,-78.574167,1,2020,30,27.6666666666667
2020-01-10,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,NA,26
2020-01-10,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,27,26.5
2020-01-11,"Bryson City","Swain",35.434767,-83.442133,1,2020,NA,28
2020-01-11,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,NA,14
2020-01-11,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,NA,47.5
2020-01-11,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,NA,44
2020-01-11,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,51,0
2020-01-11,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,27.5,33
2020-01-11,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,NA,43.3333333333333
2020-01-11,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,NA,22.5
2020-01-11,"Linville Falls","Avery",35.972347,-81.933072,1,2020,NA,3
2020-01-11,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2020,NA,40
2020-01-11,"Millbrook School","Wake",35.856111,-78.574167,1,2020,27,31.25
2020-01-11,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,NA,24.6666666666667
2020-01-11,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,29,38.5
2020-01-12,"Bryson City","Swain",35.434767,-83.442133,1,2020,NA,28.5
2020-01-12,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,NA,9
2020-01-12,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,NA,40
2020-01-12,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,NA,31.3333333333333
2020-01-12,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,37,13
