"lakeid","lakename","year4","daynum","month","sampledate","depth_id","depth","tn_ug","tp_ug","nh34","no23","po4","comments"
"L","Paul Lake",1996,225,"8",1996-08-12,1,0,NA,5.879,NA,NA,NA,NA
"R","Peter Lake",1996,226,"8",1996-08-13,1,0,NA,27.554,NA,NA,NA,NA
"L","Paul Lake",1996,232,"8",1996-08-19,1,0,219.406,9.933,NA,13.057,0.744,NA
"R","Peter Lake",1996,233,"8",1996-08-20,1,0,1924.631,36.845,NA,866.249,10.934,NA
"L","Paul Lake",1996,239,"8",1996-08-26,1,0,NA,9.706,NA,NA,NA,NA
"R","Peter Lake",1996,240,"8",1996-08-27,1,0,NA,48.694,NA,NA,NA,NA
"L","Paul Lake",1996,246,"9",1996-09-02,1,0,NA,6.592,NA,NA,NA,NA
"R","Peter Lake",1996,246,"9",1996-09-02,1,0,NA,41.145,NA,NA,NA,NA
"L","Paul Lake",1997,146,"5",1997-05-26,1,0,412.409,13.57,34.55,15.485,3.077,NA
"R","Peter Lake",1997,147,"5",1997-05-27,1,0,508.968,13.334,22.591,188.394,3.099,NA
"L","Paul Lake",1997,153,"6",1997-06-02,1,0,NA,6.907,NA,NA,NA,NA
"R","Peter Lake",1997,154,"6",1997-06-03,1,0,NA,18.852,NA,NA,NA,NA
"L","Paul Lake",1997,160,"6",1997-06-09,1,0,NA,6.312,NA,NA,NA,NA
"R","Peter Lake",1997,161,"6",1997-06-10,1,0,NA,20.36,NA,NA,NA,NA
"L","Paul Lake",1997,167,"6",1997-06-16,1,0,NA,17.557,NA,NA,NA,NA
"R","Peter Lake",1997,168,"6",1997-06-17,1,0,NA,19.537,NA,NA,NA,NA
"L","Paul Lake",1997,174,"6",1997-06-23,1,0,477.193,9.206,16.58,0.839,1.975,NA
"R","Peter Lake",1997,175,"6",1997-06-24,1,0,917.878,21.881,25.692,290.803,5.93,NA
"L","Paul Lake",1997,181,"6",1997-06-30,1,0,NA,8.489,NA,NA,NA,NA
"R","Peter Lake",1997,182,"7",1997-07-01,1,0,NA,33.111,NA,NA,NA,NA
"L","Paul Lake",1997,188,"7",1997-07-07,1,0,NA,7.778,NA,NA,NA,NA
"R","Peter Lake",1997,189,"7",1997-07-08,1,0,NA,21.273,NA,NA,NA,NA
"L","Paul Lake",1997,195,"7",1997-07-14,1,0,NA,9.19,NA,NA,NA,NA
"R","Peter Lake",1997,196,"7",1997-07-15,1,0,NA,22.09,NA,NA,NA,NA
"L","Paul Lake",1997,202,"7",1997-07-21,1,0,374.651,9.42,13.505,2.448,2.011,NA
"R","Peter Lake",1997,203,"7",1997-07-22,1,0,1162.929,25.869,10.216,317.931,1.976,NA
"L","Paul Lake",1997,209,"7",1997-07-28,1,0,NA,12.789,NA,NA,NA,NA
"R","Peter Lake",1997,210,"7",1997-07-29,1,0,NA,36.883,NA,NA,NA,NA
"L","Paul Lake",1997,216,"8",1997-08-04,1,0,NA,8.044,NA,NA,NA,NA
"R","Peter Lake",1997,217,"8",1997-08-05,1,0,NA,31.659,NA,NA,NA,NA
"L","Paul Lake",1997,223,"8",1997-08-11,1,0,NA,8.24,NA,NA,NA,NA
"R","Peter Lake",1997,224,"8",1997-08-12,1,0,NA,37.292,NA,NA,NA,NA
"L","Paul Lake",1997,230,"8",1997-08-18,1,0,360.28,13.873,10.344,11.25,0,NA
"R","Peter Lake",1997,231,"8",1997-08-19,1,0,1251.84,41.426,6.642,272.335,8.218,NA
"L","Paul Lake",1997,237,"8",1997-08-25,1,0,NA,13.697,NA,NA,NA,NA
"R","Peter Lake",1997,238,"8",1997-08-26,1,0,NA,46.774,NA,NA,NA,NA
"L","Paul Lake",1997,244,"9",1997-09-01,1,0,NA,7.419,NA,NA,NA,NA
"R","Peter Lake",1997,245,"9",1997-09-02,1,0,NA,52.615,NA,NA,NA,NA
"L","Paul Lake",1998,145,"5",1998-05-25,1,0,473.371,7.743,24.666,4.178,4.122,NA
"R","Peter Lake",1998,146,"5",1998-05-26,1,0,593.138,8.475,14.821,5.033,6.541,NA
"L","Paul Lake",1998,152,"6",1998-06-01,1,0,NA,13.105,NA,NA,NA,NA
"R","Peter Lake",1998,153,"6",1998-06-02,1,0,NA,15.814,NA,NA,NA,NA
"L","Paul Lake",1998,159,"6",1998-06-08,1,0,NA,10.723,NA,NA,NA,NA
"R","Peter Lake",1998,160,"6",1998-06-09,1,0,NA,9.734,NA,NA,NA,NA
"L","Paul Lake",1998,166,"6",1998-06-15,1,0,NA,4.986,NA,NA,NA,NA
"R","Peter Lake",1998,167,"6",1998-06-16,1,0,NA,7.306,NA,NA,NA,NA
"L","Paul Lake",1998,173,"6",1998-06-22,1,0,628.625,5.564,15.343,2.425,2.962,NA
"R","Peter Lake",1998,174,"6",1998-06-23,1,0,587.544,8.086,15.322,0.819,3.152,NA
"L","Paul Lake",1998,180,"6",1998-06-29,1,0,NA,11.781,NA,NA,NA,NA
"R","Peter Lake",1998,181,"6",1998-06-30,1,0,NA,14.877,NA,NA,NA,NA
"L","Paul Lake",1998,187,"7",1998-07-06,1,0,NA,17.292,NA,NA,NA,NA
"R","Peter Lake",1998,188,"7",1998-07-07,1,0,NA,15.55,NA,NA,NA,NA
"L","Paul Lake",1998,194,"7",1998-07-13,1,0,NA,3.43,NA,NA,NA,NA
"R","Peter Lake",1998,195,"7",1998-07-14,1,0,NA,21.708,NA,NA,NA,NA
"L","Paul Lake",1998,201,"7",1998-07-20,1,0,338.512,2.305,13.237,1.151,1.499,NA
"R","Peter Lake",1998,202,"7",1998-07-21,1,0,537.964,8.593,7.981,4.868,7.327,NA
"L","Paul Lake",1998,208,"7",1998-07-27,1,0,NA,8.548,NA,NA,NA,NA
"R","Peter Lake",1998,209,"7",1998-07-28,1,0,NA,15.872,NA,NA,NA,NA
"L","Paul Lake",1998,215,"8",1998-08-03,1,0,NA,9.115,NA,NA,NA,NA
"R","Peter Lake",1998,216,"8",1998-08-04,1,0,NA,14.176,NA,NA,NA,NA
"L","Paul Lake",1998,222,"8",1998-08-10,1,0,NA,10.133,NA,NA,NA,NA
"R","Peter Lake",1998,223,"8",1998-08-11,1,0,NA,14.073,NA,NA,NA,NA
"L","Paul Lake",1998,229,"8",1998-08-17,1,0,NA,6.466,NA,NA,NA,NA
"R","Peter Lake",1998,230,"8",1998-08-18,1,0,NA,14.728,NA,NA,NA,NA
"L","Paul Lake",1998,236,"8",1998-08-24,1,0,576.302,8.005,24.279,5.386,4.77,NA
"R","Peter Lake",1998,237,"8",1998-08-25,1,0,488.017,13.222,6.349,0.988,1.659,NA
"L","Paul Lake",1998,241,"8",1998-08-29,1,0,NA,9.155,NA,NA,NA,NA
"R","Peter Lake",1998,242,"8",1998-08-30,1,0,NA,20.759,NA,NA,NA,NA
"L","Paul Lake",1999,144,"5",1999-05-24,1,0,340.252,8.806,21.375,4.255,1.106,NA
"R","Peter Lake",1999,144,"5",1999-05-24,1,0,560.862,11.14,15.55,35.375,0.943,NA
"L","Paul Lake",1999,172,"6",1999-06-21,1,0,393.202,15.827,26.973,5.075,0.75,NA
"R","Peter Lake",1999,172,"6",1999-06-21,1,0,538.694,16.863,22.951,1.858,0.954,NA
"L","Paul Lake",1999,200,"7",1999-07-19,1,0,355.795,5.253,14.758,5.033,3.13,NA
"R","Peter Lake",1999,200,"7",1999-07-19,1,0,594.585,8.732,9.38,1.333,1.255,NA
"L","Paul Lake",1999,228,"8",1999-08-16,1,0,395.547,11.063,11.579,3.994,0.02,NA
"R","Peter Lake",1999,228,"8",1999-08-16,1,0,588.069,11.917,7.545,1.625,1.703,NA
